tract_fips10,year,population,aland10,count_445110,count_sales_445110,count_emp_445110,popden_445110,popden_sales_445110,popden_emp_445110,aden_445110,aden_sales_445110,aden_emp_445110
37001021901,2015,4280,21.40077,0,0,0,0,0,0,0,0,0
37001021901,2017,4280,21.40077,0,0,0,0,0,0,0,0,0
37001021902,2013,4546,47.10292,0,0,0,0,0,0,0,0,0
37001021902,2014,4546,47.10292,0,0,0,0,0,0,0,0,0
37001021902,2015,4546,47.10292,0,0,0,0,0,0,0,0,0
37001021902,2017,4546,47.10292,0,0,0,0,0,0,0,0,0
37001022001,2013,4036,11.35302,0,0,0,0,0,0,0,0,0
37001022001,2014,4036,11.35302,0,0,0,0,0,0,0,0,0
37001022001,2015,4036,11.35302,0,0,0,0,0,0,0,0,0
37001022001,2017,4036,11.35302,1,1,1,0.2477701,0.2477701,0.2477701,0.0880823,0.0880823,0.0880823
37001022002,2013,4167,21.24152,1,1,1,0.2399808,0.2399808,0.2399808,0.0470776,0.0470776,0.0470776
37001022002,2014,4167,21.24152,1,1,1,0.2399808,0.2399808,0.2399808,0.0470776,0.0470776,0.0470776
37001022002,2015,4167,21.24152,1,1,1,0.2399808,0.2399808,0.2399808,0.0470776,0.0470776,0.0470776
37001022002,2017,4167,21.24152,1,1,1,0.2399808,0.2399808,0.2399808,0.0470776,0.0470776,0.0470776
37003040100,2013,3101,60.02795,1,1,1,0.3224766,0.3224766,0.3224766,0.0166589,0.0166589,0.0166589
37003040100,2014,3101,60.02795,1,1,1,0.3224766,0.3224766,0.3224766,0.0166589,0.0166589,0.0166589
37003040100,2015,3101,60.02795,1,1,1,0.3224766,0.3224766,0.3224766,0.0166589,0.0166589,0.0166589
37003040100,2017,3101,60.02795,1,1,1,0.3224766,0.3224766,0.3224766,0.0166589,0.0166589,0.0166589
37003040200,2013,4020,65.88783,0,0,0,0,0,0,0,0,0
37003040200,2014,4020,65.88783,0,0,0,0,0,0,0,0,0
37003040200,2015,4020,65.88783,0,0,0,0,0,0,0,0,0
37003040200,2017,4020,65.88783,0,0,0,0,0,0,0,0,0
37003040300,2013,2887,28.18965,2,2,2,0.6927606,0.6927606,0.6927606,0.070948,0.070948,0.070948
37003040300,2014,2887,28.18965,2,2,2,0.6927606,0.6927606,0.6927606,0.070948,0.070948,0.070948
37003040300,2015,2887,28.18965,2,2,2,0.6927606,0.6927606,0.6927606,0.070948,0.070948,0.070948
37003040300,2017,2887,28.18965,2,2,2,0.6927606,0.6927606,0.6927606,0.070948,0.070948,0.070948
37003040400,2013,6950,19.92519,5,5,5,0.7194244,0.7194244,0.7194244,0.2509387,0.2509387,0.2509387
37003040400,2014,6950,19.92519,5,5,5,0.7194244,0.7194244,0.7194244,0.2509387,0.2509387,0.2509387
37003040400,2015,6950,19.92519,5,5,5,0.7194244,0.7194244,0.7194244,0.2509387,0.2509387,0.2509387
37003040400,2017,6950,19.92519,5,5,5,0.7194244,0.7194244,0.7194244,0.2509387,0.2509387,0.2509387
37003040500,2013,7457,42.90514,1,1,1,0.1341022,0.1341022,0.1341022,0.0233072,0.0233072,0.0233072
37003040500,2014,7457,42.90514,0,0,0,0,0,0,0,0,0
37003040500,2015,7457,42.90514,1,0,1,0.1341022,0,0.1341022,0.0233072,0,0.0233072
37003040500,2017,7457,42.90514,1,1,1,0.1341022,0.1341022,0.1341022,0.0233072,0.0233072,0.0233072
37003040600,2013,6010,27.53771,1,1,1,0.1663893,0.1663893,0.1663893,0.0363138,0.0363138,0.0363138
37003040600,2014,6010,27.53771,1,1,1,0.1663893,0.1663893,0.1663893,0.0363138,0.0363138,0.0363138
37003040600,2015,6010,27.53771,2,1,2,0.3327787,0.1663893,0.3327787,0.0726277,0.0363138,0.0726277
37003040600,2017,6010,27.53771,2,2,1,0.3327787,0.3327787,0.1663893,0.0726277,0.0726277,0.0363138
37003040700,2013,6734,15.52057,2,2,2,0.2970003,0.2970003,0.2970003,0.1288612,0.1288612,0.1288612
37003040700,2014,6734,15.52057,2,2,2,0.2970003,0.2970003,0.2970003,0.1288612,0.1288612,0.1288612
37003040700,2015,6734,15.52057,1,1,1,0.1485002,0.1485002,0.1485002,0.0644306,0.0644306,0.0644306
37003040700,2017,6734,15.52057,1,1,1,0.1485002,0.1485002,0.1485002,0.0644306,0.0644306,0.0644306
37005950100,2013,4057,92.17886,5,5,2,1.232438,1.232438,0.4929751,0.0542424,0.0542424,0.0216969
37005950100,2014,4057,92.17886,4,4,2,0.9859502,0.9859502,0.4929751,0.0433939,0.0433939,0.0216969
37005950100,2015,4057,92.17886,4,4,2,0.9859502,0.9859502,0.4929751,0.0433939,0.0433939,0.0216969
37005950100,2017,4057,92.17886,3,3,2,0.7394627,0.7394627,0.4929751,0.0325454,0.0325454,0.0216969
37005950200,2013,3835,29.95388,2,2,1,0.5215124,0.5215124,0.2607562,0.0667693,0.0667693,0.0333847
37005950200,2014,3835,29.95388,2,2,1,0.5215124,0.5215124,0.2607562,0.0667693,0.0667693,0.0333847
37005950200,2015,3835,29.95388,2,2,1,0.5215124,0.5215124,0.2607562,0.0667693,0.0667693,0.0333847
37005950200,2017,3835,29.95388,2,2,1,0.5215124,0.5215124,0.2607562,0.0667693,0.0667693,0.0333847
37005950300,2013,3043,112.9267,3,3,2,0.9858692,0.9858692,0.6572462,0.0265659,0.0265659,0.0177106
37005950300,2014,3043,112.9267,2,2,2,0.6572462,0.6572462,0.6572462,0.0177106,0.0177106,0.0177106
37005950300,2015,3043,112.9267,2,2,2,0.6572462,0.6572462,0.6572462,0.0177106,0.0177106,0.0177106
37005950300,2017,3043,112.9267,2,2,2,0.6572462,0.6572462,0.6572462,0.0177106,0.0177106,0.0177106
37007920100,2013,2777,101.623,0,0,0,0,0,0,0,0,0
37007920100,2014,2777,101.623,0,0,0,0,0,0,0,0,0
37007920100,2015,2777,101.623,0,0,0,0,0,0,0,0,0
37007920100,2017,2777,101.623,0,0,0,0,0,0,0,0,0
37007920200,2013,1779,68.17443,0,0,0,0,0,0,0,0,0
37007920200,2014,1779,68.17443,0,0,0,0,0,0,0,0,0
37007920200,2015,1779,68.17443,0,0,0,0,0,0,0,0,0
37007920200,2017,1779,68.17443,0,0,0,0,0,0,0,0,0
37007920300,2013,7414,122.5626,2,2,1,0.2697599,0.2697599,0.13488,0.0163182,0.0163182,0.0081591
37007920300,2014,7414,122.5626,2,2,1,0.2697599,0.2697599,0.13488,0.0163182,0.0163182,0.0081591
37007920300,2015,7414,122.5626,2,2,1,0.2697599,0.2697599,0.13488,0.0163182,0.0163182,0.0081591
37007920300,2017,7414,122.5626,0,0,0,0,0,0,0,0,0
37007920400,2013,3246,41.02429,3,2,3,0.9242144,0.6161429,0.9242144,0.0731274,0.0487516,0.0731274
37007920400,2014,3246,41.02429,3,3,3,0.9242144,0.9242144,0.9242144,0.0731274,0.0731274,0.0731274
37007920400,2015,3246,41.02429,3,3,3,0.9242144,0.9242144,0.9242144,0.0731274,0.0731274,0.0731274
37007920400,2017,3246,41.02429,2,2,2,0.6161429,0.6161429,0.6161429,0.0487516,0.0487516,0.0487516
37007920500,2013,5899,35.42486,5,5,5,0.8476013,0.8476013,0.8476013,0.1411438,0.1411438,0.1411438
37007920500,2014,5899,35.42486,5,5,5,0.8476013,0.8476013,0.8476013,0.1411438,0.1411438,0.1411438
37007920500,2015,5899,35.42486,5,5,5,0.8476013,0.8476013,0.8476013,0.1411438,0.1411438,0.1411438
37007920500,2017,5899,35.42486,5,5,5,0.8476013,0.8476013,0.8476013,0.1411438,0.1411438,0.1411438
37007920600,2013,4416,162.6423,0,0,0,0,0,0,0,0,0
37007920600,2014,4416,162.6423,0,0,0,0,0,0,0,0,0
37007920600,2015,4416,162.6423,0,0,0,0,0,0,0,0,0
37007920600,2017,4416,162.6423,0,0,0,0,0,0,0,0,0
37009970200,2013,3011,54.50307,2,2,2,0.6642311,0.6642311,0.6642311,0.0366952,0.0366952,0.0366952
37009970200,2014,3011,54.50307,2,2,2,0.6642311,0.6642311,0.6642311,0.0366952,0.0366952,0.0366952
37009970200,2015,3011,54.50307,2,2,2,0.6642311,0.6642311,0.6642311,0.0366952,0.0366952,0.0366952
37009970200,2017,3011,54.50307,2,2,2,0.6642311,0.6642311,0.6642311,0.0366952,0.0366952,0.0366952
37009970300,2013,2674,82.67004,2,2,2,0.7479432,0.7479432,0.7479432,0.0241926,0.0241926,0.0241926
37009970300,2014,2674,82.67004,1,1,1,0.3739716,0.3739716,0.3739716,0.0120963,0.0120963,0.0120963
37009970300,2015,2674,82.67004,1,1,1,0.3739716,0.3739716,0.3739716,0.0120963,0.0120963,0.0120963
37009970300,2017,2674,82.67004,1,1,1,0.3739716,0.3739716,0.3739716,0.0120963,0.0120963,0.0120963
37009970400,2013,4650,32.33418,7,6,7,1.505376,1.290323,1.505376,0.2164892,0.1855621,0.2164892
37009970400,2014,4650,32.33418,6,6,6,1.290323,1.290323,1.290323,0.1855621,0.1855621,0.1855621
37009970400,2015,4650,32.33418,5,5,5,1.075269,1.075269,1.075269,0.1546351,0.1546351,0.1546351
37009970400,2017,4650,32.33418,4,4,4,0.8602151,0.8602151,0.8602151,0.1237081,0.1237081,0.1237081
37009970500,2013,6024,41.74074,6,6,5,0.996016,0.996016,0.8300133,0.1437445,0.1437445,0.1197871
37009970500,2014,6024,41.74074,5,5,4,0.8300133,0.8300133,0.6640106,0.1197871,0.1197871,0.0958296
37009970500,2015,6024,41.74074,5,5,4,0.8300133,0.8300133,0.6640106,0.1197871,0.1197871,0.0958296
37009970500,2017,6024,41.74074,5,5,4,0.8300133,0.8300133,0.6640106,0.1197871,0.1197871,0.0958296
37009970700,2013,5625,92.20131,0,0,0,0,0,0,0,0,0
37009970700,2014,5625,92.20131,0,0,0,0,0,0,0,0,0
37009970700,2015,5625,92.20131,0,0,0,0,0,0,0,0,0
37009970700,2017,5625,92.20131,0,0,0,0,0,0,0,0,0
37009970800,2013,4849,122.6853,3,3,3,0.6186843,0.6186843,0.6186843,0.0244528,0.0244528,0.0244528
37009970800,2014,4849,122.6853,3,3,3,0.6186843,0.6186843,0.6186843,0.0244528,0.0244528,0.0244528
37009970800,2015,4849,122.6853,3,3,3,0.6186843,0.6186843,0.6186843,0.0244528,0.0244528,0.0244528
37009970800,2017,4849,122.6853,3,3,3,0.6186843,0.6186843,0.6186843,0.0244528,0.0244528,0.0244528
37011930100,2013,3314,35.94674,7,7,7,2.112251,2.112251,2.112251,0.1947325,0.1947325,0.1947325
37011930100,2014,3314,35.94674,7,7,7,2.112251,2.112251,2.112251,0.1947325,0.1947325,0.1947325
37011930100,2015,3314,35.94674,7,7,7,2.112251,2.112251,2.112251,0.1947325,0.1947325,0.1947325
37011930100,2017,3314,35.94674,6,6,6,1.810501,1.810501,1.810501,0.1669136,0.1669136,0.1669136
37011930200,2013,2531,79.53777,3,3,2,1.185302,1.185302,0.7902015,0.0377179,0.0377179,0.0251453
37011930200,2014,2531,79.53777,3,3,2,1.185302,1.185302,0.7902015,0.0377179,0.0377179,0.0251453
37011930200,2015,2531,79.53777,3,3,2,1.185302,1.185302,0.7902015,0.0377179,0.0377179,0.0251453
37011930200,2017,2531,79.53777,2,2,2,0.7902015,0.7902015,0.7902015,0.0251453,0.0251453,0.0251453
37011930301,2013,3500,35.42731,2,2,2,0.5714285,0.5714285,0.5714285,0.0564536,0.0564536,0.0564536
37011930301,2014,3500,35.42731,2,2,2,0.5714285,0.5714285,0.5714285,0.0564536,0.0564536,0.0564536
37011930301,2015,3500,35.42731,2,2,2,0.5714285,0.5714285,0.5714285,0.0564536,0.0564536,0.0564536
37011930301,2017,3500,35.42731,2,2,2,0.5714285,0.5714285,0.5714285,0.0564536,0.0564536,0.0564536
37011930302,2013,2757,43.44696,1,1,1,0.3627131,0.3627131,0.3627131,0.0230166,0.0230166,0.0230166
37011930302,2014,2757,43.44696,1,1,1,0.3627131,0.3627131,0.3627131,0.0230166,0.0230166,0.0230166
37011930302,2015,2757,43.44696,1,1,1,0.3627131,0.3627131,0.3627131,0.0230166,0.0230166,0.0230166
37011930302,2017,2757,43.44696,1,1,1,0.3627131,0.3627131,0.3627131,0.0230166,0.0230166,0.0230166
37011930400,2013,5433,52.728,1,1,1,0.1840604,0.1840604,0.1840604,0.0189653,0.0189653,0.0189653
37011930400,2014,5433,52.728,0,0,0,0,0,0,0,0,0
37011930400,2015,5433,52.728,0,0,0,0,0,0,0,0,0
37011930400,2017,5433,52.728,0,0,0,0,0,0,0,0,0
37013930100,2013,5382,186.6017,4,4,4,0.7432181,0.7432181,0.7432181,0.021436,0.021436,0.021436
37013930100,2014,5382,186.6017,3,3,3,0.5574136,0.5574136,0.5574136,0.016077,0.016077,0.016077
37013930100,2015,5382,186.6017,3,3,3,0.5574136,0.5574136,0.5574136,0.016077,0.016077,0.016077
37013930100,2017,5382,186.6017,3,3,3,0.5574136,0.5574136,0.5574136,0.016077,0.016077,0.016077
37013930200,2013,6727,139.0011,4,4,3,0.5946187,0.5946187,0.445964,0.0287768,0.0287768,0.0215826
37013930200,2014,6727,139.0011,2,2,1,0.2973093,0.2973093,0.1486547,0.0143884,0.0143884,0.0071942
37013930200,2015,6727,139.0011,2,2,1,0.2973093,0.2973093,0.1486547,0.0143884,0.0143884,0.0071942
37013930200,2017,6727,139.0011,1,1,1,0.1486547,0.1486547,0.1486547,0.0071942,0.0071942,0.0071942
37013930300,2013,3993,3.712279,1,1,1,0.2504382,0.2504382,0.2504382,0.2693763,0.2693763,0.2693763
37013930300,2014,3993,3.712279,2,1,2,0.5008765,0.2504382,0.5008765,0.5387526,0.2693763,0.5387526
37013930300,2015,3993,3.712279,2,2,2,0.5008765,0.5008765,0.5008765,0.5387526,0.5387526,0.5387526
37013930300,2017,3993,3.712279,2,2,2,0.5008765,0.5008765,0.5008765,0.5387526,0.5387526,0.5387526
37013930400,2013,4671,5.830793,4,4,4,0.8563477,0.8563477,0.8563477,0.686013,0.686013,0.686013
37013930400,2014,4671,5.830793,4,4,4,0.8563477,0.8563477,0.8563477,0.686013,0.686013,0.686013
37013930400,2015,4671,5.830793,3,3,3,0.6422608,0.6422608,0.6422608,0.5145097,0.5145097,0.5145097
37013930400,2017,4671,5.830793,2,2,2,0.4281738,0.4281738,0.4281738,0.3430065,0.3430065,0.3430065
37013930501,2013,3955,7.392343,2,2,2,0.505689,0.505689,0.505689,0.2705502,0.2705502,0.2705502
